开始 s5_t100 / mode_sdas_dpic_only，时间：2026-05-25T02:30:24
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + DPIC only

========== MODE-SDAS + DPIC only Run 1/8 ==========
Init: HV=0.5494, feasible ratio=0.73
Gen  52: profit_max=253.00, profit_avg=112.31, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.73, tasks_avg=19.30, HV=0.5196, feasible ratio=1.00, Nsub=21
Gen  53: profit_max=253.00, profit_avg=110.72, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=120.81, tasks_avg=19.02, HV=0.5176, feasible ratio=1.00, Nsub=21
Gen  54: profit_max=253.00, profit_avg=111.45, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.07, tasks_avg=19.13, HV=0.5187, feasible ratio=1.00, Nsub=21
Gen  55: profit_max=253.00, profit_avg=112.68, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=123.65, tasks_avg=19.40, HV=0.5191, feasible ratio=1.00, Nsub=21
Gen  56: profit_max=253.00, profit_avg=112.45, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.17, tasks_avg=19.24, HV=0.5166, feasible ratio=1.00, Nsub=21
Gen  57: profit_max=253.00, profit_avg=112.21, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.12, tasks_avg=19.22, HV=0.5171, feasible ratio=1.00, Nsub=21
Gen  58: profit_max=253.00, profit_avg=113.23, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=123.44, tasks_avg=19.39, HV=0.5164, feasible ratio=1.00, Nsub=21
Gen  59: profit_max=253.00, profit_avg=113.79, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=124.19, tasks_avg=19.44, HV=0.5195, feasible ratio=1.00, Nsub=21
Gen  60: profit_max=253.00, profit_avg=112.73, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.85, tasks_avg=19.27, HV=0.5179, feasible ratio=1.00, Nsub=21
Gen  61: profit_max=253.00, profit_avg=113.14, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.99, tasks_avg=19.28, HV=0.5166, feasible ratio=1.00, Nsub=21
Gen  62: profit_max=253.00, profit_avg=112.07, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.32, tasks_avg=19.08, HV=0.5152, feasible ratio=1.00, Nsub=21
Gen  63: profit_max=253.00, profit_avg=111.25, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=120.89, tasks_avg=18.98, HV=0.5143, feasible ratio=1.00, Nsub=21
Gen  64: profit_max=253.00, profit_avg=111.97, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.84, tasks_avg=19.11, HV=0.5173, feasible ratio=1.00, Nsub=21
Gen  65: profit_max=253.00, profit_avg=111.76, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.54, tasks_avg=19.10, HV=0.5145, feasible ratio=1.00, Nsub=21
Gen  66: profit_max=253.00, profit_avg=112.70, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=123.17, tasks_avg=19.28, HV=0.5160, feasible ratio=1.00, Nsub=21
Gen  67: profit_max=253.00, profit_avg=108.98, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=120.34, tasks_avg=18.74, HV=0.5233, feasible ratio=1.00, Nsub=21
Gen  68: profit_max=253.00, profit_avg=109.72, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=120.52, tasks_avg=18.78, HV=0.5233, feasible ratio=1.00, Nsub=21
Gen  69: profit_max=253.00, profit_avg=109.86, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=120.81, tasks_avg=18.81, HV=0.5253, feasible ratio=1.00, Nsub=21
Gen  70: profit_max=253.00, profit_avg=111.72, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.83, tasks_avg=19.15, HV=0.5251, feasible ratio=1.00, Nsub=21
Gen  71: profit_max=253.00, profit_avg=112.14, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=123.06, tasks_avg=19.23, HV=0.5250, feasible ratio=1.00, Nsub=21
Gen  72: profit_max=253.00, profit_avg=112.45, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.67, tasks_avg=19.16, HV=0.5272, feasible ratio=1.00, Nsub=21
Gen  73: profit_max=253.00, profit_avg=114.25, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=124.86, tasks_avg=19.54, HV=0.5263, feasible ratio=1.00, Nsub=21
Gen  74: profit_max=253.00, profit_avg=114.77, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=125.91, tasks_avg=19.66, HV=0.5262, feasible ratio=1.00, Nsub=21
Gen  75: profit_max=253.00, profit_avg=111.58, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.29, tasks_avg=19.05, HV=0.5316, feasible ratio=1.00, Nsub=21
Gen  76: profit_max=253.00, profit_avg=110.69, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=120.31, tasks_avg=18.89, HV=0.5325, feasible ratio=1.00, Nsub=21
Gen  77: profit_max=253.00, profit_avg=111.11, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.17, tasks_avg=19.03, HV=0.5335, feasible ratio=1.00, Nsub=21
Gen  78: profit_max=253.00, profit_avg=113.07, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=124.04, tasks_avg=19.31, HV=0.5338, feasible ratio=1.00, Nsub=21
Gen  79: profit_max=253.00, profit_avg=110.96, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.60, tasks_avg=18.94, HV=0.5370, feasible ratio=1.00, Nsub=21
Gen  80: profit_max=253.00, profit_avg=110.66, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.25, tasks_avg=18.86, HV=0.5365, feasible ratio=1.00, Nsub=21
Gen  81: profit_max=253.00, profit_avg=110.07, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=120.28, tasks_avg=18.74, HV=0.5301, feasible ratio=1.00, Nsub=21
Gen  82: profit_max=253.00, profit_avg=109.37, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=119.59, tasks_avg=18.64, HV=0.5309, feasible ratio=1.00, Nsub=21
Gen  83: profit_max=253.00, profit_avg=109.43, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=119.88, tasks_avg=18.68, HV=0.5309, feasible ratio=1.00, Nsub=21
Gen  84: profit_max=253.00, profit_avg=111.07, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.21, tasks_avg=18.91, HV=0.5310, feasible ratio=1.00, Nsub=21
Gen  85: profit_max=253.00, profit_avg=110.23, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.84, tasks_avg=18.79, HV=0.5320, feasible ratio=1.00, Nsub=21
Gen  86: profit_max=253.00, profit_avg=110.77, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.41, tasks_avg=18.89, HV=0.5319, feasible ratio=1.00, Nsub=21
Gen  87: profit_max=253.00, profit_avg=112.80, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=125.09, tasks_avg=19.29, HV=0.5322, feasible ratio=1.00, Nsub=21
Gen  88: profit_max=253.00, profit_avg=113.94, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=125.54, tasks_avg=19.46, HV=0.5321, feasible ratio=1.00, Nsub=21
Gen  89: profit_max=253.00, profit_avg=113.53, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=125.55, tasks_avg=19.41, HV=0.5313, feasible ratio=1.00, Nsub=21
Gen  90: profit_max=253.00, profit_avg=114.60, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=126.34, tasks_avg=19.56, HV=0.5332, feasible ratio=1.00, Nsub=21
Gen  91: profit_max=253.00, profit_avg=117.28, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=128.94, tasks_avg=20.00, HV=0.5330, feasible ratio=1.00, Nsub=21
Gen  92: profit_max=253.00, profit_avg=117.23, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=129.67, tasks_avg=20.01, HV=0.5332, feasible ratio=1.00, Nsub=21
Gen  93: profit_max=253.00, profit_avg=116.27, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=128.51, tasks_avg=19.84, HV=0.5333, feasible ratio=1.00, Nsub=21
Gen  94: profit_max=253.00, profit_avg=117.85, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=130.64, tasks_avg=20.06, HV=0.5351, feasible ratio=1.00, Nsub=21
Gen  95: profit_max=253.00, profit_avg=116.63, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=128.94, tasks_avg=19.82, HV=0.5357, feasible ratio=1.00, Nsub=21
Gen  96: profit_max=253.00, profit_avg=117.45, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=129.92, tasks_avg=19.93, HV=0.5372, feasible ratio=1.00, Nsub=21
