开始 s5_t100 / mode_sdas_dpic，时间：2026-05-27T10:47:56
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5327, feasible ratio=0.83
Gen  48: profit_max=318.00, profit_avg=150.82, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=156.84, tasks_avg=26.13, HV=0.4639, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  49: profit_max=318.00, profit_avg=150.79, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=157.25, tasks_avg=26.16, HV=0.4639, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  50: profit_max=318.00, profit_avg=149.02, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=156.27, tasks_avg=25.91, HV=0.4668, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  51: profit_max=318.00, profit_avg=150.25, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=157.37, tasks_avg=26.16, HV=0.4652, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  52: profit_max=318.00, profit_avg=150.03, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=157.04, tasks_avg=26.11, HV=0.4653, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  53: profit_max=318.00, profit_avg=151.33, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=158.19, tasks_avg=26.32, HV=0.4665, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  54: profit_max=318.00, profit_avg=151.35, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=157.62, tasks_avg=26.26, HV=0.4665, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  55: profit_max=318.00, profit_avg=152.47, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=158.58, tasks_avg=26.46, HV=0.4679, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  56: profit_max=318.00, profit_avg=151.37, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=158.02, tasks_avg=26.32, HV=0.4679, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  57: profit_max=318.00, profit_avg=150.27, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=157.44, tasks_avg=26.16, HV=0.4665, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
