开始 s5_t100 / mode_sdas_dual_archive，时间：2026-05-27T00:48:24
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.6190, feasible ratio=0.74
Gen  10: profit_max=193.00 load_min=0.00, att_min=0.00, quality_max=228.60 HV=0.5083, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  11: profit_max=193.00 load_min=0.00, att_min=0.00, quality_max=228.60 HV=0.5137, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  12: profit_max=193.00 load_min=0.00, att_min=0.00, quality_max=228.60 HV=0.5073, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  13: profit_max=223.00 load_min=0.00, att_min=0.00, quality_max=262.33 HV=0.3870, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  14: profit_max=223.00 load_min=0.00, att_min=0.00, quality_max=262.33 HV=0.4001, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  15: profit_max=223.00 load_min=0.00, att_min=0.00, quality_max=262.33 HV=0.4117, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  16: profit_max=223.00 load_min=0.00, att_min=0.00, quality_max=262.33 HV=0.4391, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  17: profit_max=223.00 load_min=0.00, att_min=0.00, quality_max=262.33 HV=0.4444, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  18: profit_max=223.00 load_min=0.00, att_min=0.00, quality_max=262.33 HV=0.4437, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  19: profit_max=261.00 load_min=0.00, att_min=0.00, quality_max=265.05 HV=0.4044, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  20: profit_max=261.00 load_min=0.00, att_min=0.00, quality_max=265.05 HV=0.4031, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  21: profit_max=261.00 load_min=0.00, att_min=0.00, quality_max=265.05 HV=0.4139, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  22: profit_max=261.00 load_min=0.00, att_min=0.00, quality_max=265.05 HV=0.4434, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  23: profit_max=261.00 load_min=0.00, att_min=0.00, quality_max=265.05 HV=0.4475, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  24: profit_max=261.00 load_min=0.00, att_min=0.00, quality_max=265.05 HV=0.4536, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  25: profit_max=261.00 load_min=0.00, att_min=0.00, quality_max=265.05 HV=0.4537, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  26: profit_max=261.00 load_min=0.00, att_min=0.00, quality_max=265.05 HV=0.4618, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  27: profit_max=261.00 load_min=0.00, att_min=0.00, quality_max=265.05 HV=0.4667, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  28: profit_max=261.00 load_min=0.00, att_min=0.00, quality_max=265.05 HV=0.4670, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  29: profit_max=261.00 load_min=0.00, att_min=0.00, quality_max=265.05 HV=0.4662, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  30: profit_max=262.00 load_min=0.00, att_min=0.00, quality_max=265.98 HV=0.4645, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  31: profit_max=262.00 load_min=0.00, att_min=0.00, quality_max=271.59 HV=0.4619, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  32: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=271.59 HV=0.4456, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  33: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=271.59 HV=0.4454, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  34: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=271.59 HV=0.4552, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  35: profit_max=270.00 load_min=0.00, att_min=0.00, quality_max=271.59 HV=0.4527, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  36: profit_max=270.00 load_min=0.00, att_min=0.00, quality_max=271.59 HV=0.4554, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  37: profit_max=270.00 load_min=0.00, att_min=0.00, quality_max=271.59 HV=0.4552, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  38: profit_max=270.00 load_min=0.00, att_min=0.00, quality_max=271.59 HV=0.4573, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  39: profit_max=276.00 load_min=0.00, att_min=0.00, quality_max=295.60 HV=0.4189, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  40: profit_max=276.00 load_min=0.00, att_min=0.00, quality_max=295.60 HV=0.4180, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  41: profit_max=276.00 load_min=0.00, att_min=0.00, quality_max=295.60 HV=0.4157, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  42: profit_max=276.00 load_min=0.00, att_min=0.00, quality_max=295.60 HV=0.4161, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  43: profit_max=276.00 load_min=0.00, att_min=0.00, quality_max=295.60 HV=0.4161, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  44: profit_max=276.00 load_min=0.00, att_min=0.00, quality_max=295.60 HV=0.4166, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  45: profit_max=276.00 load_min=0.00, att_min=0.00, quality_max=295.60 HV=0.4170, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  46: profit_max=277.00 load_min=0.00, att_min=0.00, quality_max=295.60 HV=0.4843, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  47: profit_max=277.00 load_min=0.00, att_min=0.00, quality_max=295.60 HV=0.4757, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  48: profit_max=277.00 load_min=0.00, att_min=0.00, quality_max=295.60 HV=0.4766, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  49: profit_max=277.00 load_min=0.00, att_min=0.00, quality_max=295.60 HV=0.4776, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  50: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.4757, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  51: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.4958, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  52: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.4976, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  53: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.4957, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  54: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.4977, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  55: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.4997, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  56: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.5015, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  57: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.5056, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  58: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.5163, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  59: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.5153, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  60: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.5160, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  61: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.5163, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  62: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.5170, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  63: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.5171, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  64: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.5179, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  65: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.5212, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  66: profit_max=281.00 load_min=0.00, att_min=0.00, quality_max=296.67 HV=0.5212, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  67: profit_max=284.00 load_min=0.00, att_min=0.00, quality_max=313.45 HV=0.4934, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  68: profit_max=284.00 load_min=0.00, att_min=0.00, quality_max=313.45 HV=0.4934, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  69: profit_max=284.00 load_min=0.00, att_min=0.00, quality_max=313.45 HV=0.4934, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  70: profit_max=284.00 load_min=0.00, att_min=0.00, quality_max=313.45 HV=0.4934, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  71: profit_max=293.00 load_min=0.00, att_min=0.00, quality_max=327.71 HV=0.4615, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  72: profit_max=293.00 load_min=0.00, att_min=0.00, quality_max=327.71 HV=0.4615, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  73: profit_max=293.00 load_min=0.00, att_min=0.00, quality_max=327.71 HV=0.4624, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  74: profit_max=293.00 load_min=0.00, att_min=0.00, quality_max=327.71 HV=0.4622, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  75: profit_max=293.00 load_min=0.00, att_min=0.00, quality_max=327.71 HV=0.4628, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  76: profit_max=293.00 load_min=0.00, att_min=0.00, quality_max=327.71 HV=0.4660, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  77: profit_max=293.00 load_min=0.00, att_min=0.00, quality_max=327.71 HV=0.4660, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen  78: profit_max=293.00 load_min=0.00, att_min=0.00, quality_max=327.71 HV=0.4661, feasible ratio=1.00, fea_archive=200, inf_archive=12
