ÂºÄÂßã s5_t100 / mode_sdasÔºåÊó∂Èó¥Ôºö2026-05-25T07:31:39
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.5651, feasible ratio=0.80
Gen   1: profit_max=   60.00, profit_avg=   22.29, load_min=      0.00, att_min=      0.00, quality_max=     80.96, quality_avg=     31.15, tasks_avg=  4.88, HV=0.4824, feasible ratio=1.00
Gen  57: profit_max=  312.00, profit_avg=  153.68, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    175.09, tasks_avg= 28.74, HV=0.4628, feasible ratio=1.00
Gen  58: profit_max=  312.00, profit_avg=  154.04, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    175.91, tasks_avg= 28.70, HV=0.4647, feasible ratio=1.00
Gen  59: profit_max=  312.00, profit_avg=  153.69, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    175.31, tasks_avg= 28.67, HV=0.4616, feasible ratio=1.00
Gen  60: profit_max=  312.00, profit_avg=  155.19, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    176.33, tasks_avg= 28.97, HV=0.4611, feasible ratio=1.00
Gen  61: profit_max=  312.00, profit_avg=  154.93, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    175.29, tasks_avg= 28.78, HV=0.4591, feasible ratio=1.00
Gen  62: profit_max=  312.00, profit_avg=  156.15, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    175.52, tasks_avg= 28.97, HV=0.4585, feasible ratio=1.00
Gen  63: profit_max=  312.00, profit_avg=  155.47, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    174.66, tasks_avg= 28.83, HV=0.4603, feasible ratio=1.00
Gen  64: profit_max=  312.00, profit_avg=  156.92, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    176.30, tasks_avg= 29.11, HV=0.4603, feasible ratio=1.00
Gen  65: profit_max=  312.00, profit_avg=  153.87, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    174.13, tasks_avg= 28.54, HV=0.4671, feasible ratio=1.00
Gen  66: profit_max=  312.00, profit_avg=  156.35, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    175.30, tasks_avg= 28.92, HV=0.4696, feasible ratio=1.00
