å¼€å§‹ s5_t500 / mode_sdasï¼Œæ—¶é—´ï¼š2026-05-27T00:48:15
å‘½ä»¤ F:\Anaconda\python.exe -u main.py


ÔËÐÐËã·¨£ºMODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.4297, feasible ratio=0.28
Gen  67: profit_max=  487.00, profit_avg=  212.88, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    230.92, tasks_avg= 37.88, HV=0.3962, feasible ratio=1.00
Gen  68: profit_max=  487.00, profit_avg=  212.88, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    230.92, tasks_avg= 37.88, HV=0.3962, feasible ratio=1.00
Gen  69: profit_max=  487.00, profit_avg=  215.10, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.24, tasks_avg= 38.33, HV=0.3954, feasible ratio=1.00
Gen  70: profit_max=  487.00, profit_avg=  215.10, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.24, tasks_avg= 38.33, HV=0.3954, feasible ratio=1.00
Gen  71: profit_max=  487.00, profit_avg=  215.10, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.24, tasks_avg= 38.33, HV=0.3954, feasible ratio=1.00
Gen  72: profit_max=  487.00, profit_avg=  215.37, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.58, tasks_avg= 38.35, HV=0.3958, feasible ratio=1.00
Gen  73: profit_max=  487.00, profit_avg=  215.37, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.58, tasks_avg= 38.35, HV=0.3958, feasible ratio=1.00
Gen  74: profit_max=  487.00, profit_avg=  214.97, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.39, tasks_avg= 38.27, HV=0.3958, feasible ratio=1.00
Gen  75: profit_max=  487.00, profit_avg=  214.97, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.39, tasks_avg= 38.27, HV=0.3958, feasible ratio=1.00
Gen  76: profit_max=  487.00, profit_avg=  214.97, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.39, tasks_avg= 38.27, HV=0.3958, feasible ratio=1.00
Gen  77: profit_max=  487.00, profit_avg=  214.97, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.39, tasks_avg= 38.27, HV=0.3958, feasible ratio=1.00
Gen  78: profit_max=  487.00, profit_avg=  214.97, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.39, tasks_avg= 38.27, HV=0.3958, feasible ratio=1.00
Gen  79: profit_max=  487.00, profit_avg=  214.97, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.39, tasks_avg= 38.27, HV=0.3958, feasible ratio=1.00
Gen  80: profit_max=  487.00, profit_avg=  215.71, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    234.95, tasks_avg= 38.34, HV=0.3969, feasible ratio=1.00
Gen  81: profit_max=  487.00, profit_avg=  217.36, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    236.00, tasks_avg= 38.59, HV=0.3973, feasible ratio=1.00
Gen  82: profit_max=  487.00, profit_avg=  220.79, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    239.70, tasks_avg= 39.25, HV=0.3984, feasible ratio=1.00
Gen  83: profit_max=  487.00, profit_avg=  220.79, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    239.70, tasks_avg= 39.25, HV=0.3984, feasible ratio=1.00
Gen  84: profit_max=  487.00, profit_avg=  223.12, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    242.26, tasks_avg= 39.62, HV=0.4007, feasible ratio=1.00
Gen  85: profit_max=  487.00, profit_avg=  223.12, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    242.26, tasks_avg= 39.62, HV=0.4007, feasible ratio=1.00
Gen  86: profit_max=  487.00, profit_avg=  223.12, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    242.26, tasks_avg= 39.62, HV=0.4007, feasible ratio=1.00
Gen  87: profit_max=  487.00, profit_avg=  223.12, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    242.26, tasks_avg= 39.62, HV=0.4007, feasible ratio=1.00
Gen  88: profit_max=  487.00, profit_avg=  223.12, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    242.26, tasks_avg= 39.62, HV=0.4007, feasible ratio=1.00
Gen  89: profit_max=  487.00, profit_avg=  223.12, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    242.26, tasks_avg= 39.62, HV=0.4007, feasible ratio=1.00
Gen  90: profit_max=  487.00, profit_avg=  222.89, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    243.14, tasks_avg= 39.54, HV=0.4050, feasible ratio=1.00
Gen  91: profit_max=  487.00, profit_avg=  223.06, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    243.39, tasks_avg= 39.53, HV=0.4060, feasible ratio=1.00
Gen  92: profit_max=  487.00, profit_avg=  222.95, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    243.08, tasks_avg= 39.52, HV=0.4060, feasible ratio=1.00
Gen  93: profit_max=  487.00, profit_avg=  223.91, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    244.63, tasks_avg= 39.75, HV=0.4094, feasible ratio=1.00
Gen  94: profit_max=  487.00, profit_avg=  226.41, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    247.30, tasks_avg= 40.17, HV=0.4207, feasible ratio=1.00
Gen  95: profit_max=  487.00, profit_avg=  226.41, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    247.30, tasks_avg= 40.17, HV=0.4207, feasible ratio=1.00
Gen  96: profit_max=  487.00, profit_avg=  226.41, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    247.30, tasks_avg= 40.17, HV=0.4207, feasible ratio=1.00
Gen  97: profit_max=  487.00, profit_avg=  226.41, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    247.30, tasks_avg= 40.17, HV=0.4207, feasible ratio=1.00
Gen  98: profit_max=  487.00, profit_avg=  225.92, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    246.29, tasks_avg= 40.01, HV=0.4207, feasible ratio=1.00
Gen  99: profit_max=  487.00, profit_avg=  224.58, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    244.84, tasks_avg= 39.74, HV=0.4207, feasible ratio=1.00
Gen 100: profit_max=  487.00, profit_avg=  224.58, load_min=     64.40, att_min=    230.62, quality_max=    475.72, quality_avg=    244.84, tasks_avg= 39.74, HV=0.4207, feasible ratio=1.00
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=487.0, load=64.40, att=230.62, quality=475.72

========== MODE-SDAS Run 2/8 ==========
Init: HV=0.3813, feasible ratio=0.32
