START s5_t100 / mode_sdas_dpic: 2026-05-27T19:12:41
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5436, feasible ratio=0.79
Gen  89: profit_max=278.00, profit_avg=138.02, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=156.42, tasks_avg=25.34, HV=0.4722, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  90: profit_max=278.00, profit_avg=137.98, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=156.15, tasks_avg=25.24, HV=0.4773, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  91: profit_max=278.00, profit_avg=139.51, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=158.56, tasks_avg=25.53, HV=0.4777, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  92: profit_max=278.00, profit_avg=139.47, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=158.80, tasks_avg=25.53, HV=0.4835, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  93: profit_max=278.00, profit_avg=137.91, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=156.99, tasks_avg=25.20, HV=0.4800, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  94: profit_max=278.00, profit_avg=136.25, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=155.77, tasks_avg=24.91, HV=0.4789, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  95: profit_max=278.00, profit_avg=135.83, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=155.93, tasks_avg=24.84, HV=0.4784, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  96: profit_max=278.00, profit_avg=135.27, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=155.44, tasks_avg=24.77, HV=0.4782, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  97: profit_max=278.00, profit_avg=135.33, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=155.66, tasks_avg=24.80, HV=0.4784, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  98: profit_max=278.00, profit_avg=134.82, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=155.01, tasks_avg=24.74, HV=0.4812, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
