ÂºÄÂßã s5_t300 / mode_sdasÔºåÊó∂Èó¥Ôºö2026-05-25T18:58:22
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.2539, feasible ratio=0.41
Gen  93: profit_max=  423.00, profit_avg=  204.60, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    209.45, tasks_avg= 34.52, HV=0.3951, feasible ratio=1.00
Gen  94: profit_max=  423.00, profit_avg=  204.60, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    209.45, tasks_avg= 34.52, HV=0.3951, feasible ratio=1.00
Gen  95: profit_max=  423.00, profit_avg=  204.45, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    209.49, tasks_avg= 34.52, HV=0.3948, feasible ratio=1.00
Gen  96: profit_max=  423.00, profit_avg=  206.85, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    211.60, tasks_avg= 34.96, HV=0.3949, feasible ratio=1.00
Gen  97: profit_max=  423.00, profit_avg=  206.84, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    210.92, tasks_avg= 34.88, HV=0.3950, feasible ratio=1.00
Gen  98: profit_max=  423.00, profit_avg=  206.57, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    211.23, tasks_avg= 34.90, HV=0.3948, feasible ratio=1.00
Gen  99: profit_max=  423.00, profit_avg=  207.27, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    211.76, tasks_avg= 34.98, HV=0.3957, feasible ratio=1.00
Gen 100: profit_max=  424.00, profit_avg=  212.56, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    217.79, tasks_avg= 35.96, HV=0.3954, feasible ratio=1.00
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=424.0, load=21.44, att=0.00, quality=424.83

========== MODE-SDAS Run 2/8 ==========
Init: HV=0.3228, feasible ratio=0.50
Gen   1: profit_max=  173.00, profit_avg=   67.29, load_min=     29.84, att_min=      0.00, quality_max=    199.07, quality_avg=     73.69, tasks_avg= 12.13, HV=0.2777, feasible ratio=0.66
Gen   2: profit_max=  182.00, profit_avg=   76.29, load_min=     29.84, att_min=      0.00, quality_max=    220.05, quality_avg=     85.09, tasks_avg= 13.86, HV=0.3822, feasible ratio=0.78
Gen   3: profit_max=  201.00, profit_avg=   81.83, load_min=     29.84, att_min=      0.00, quality_max=    234.04, quality_avg=     91.40, tasks_avg= 14.89, HV=0.4104, feasible ratio=0.90
Gen   4: profit_max=  243.00, profit_avg=   89.19, load_min=     29.84, att_min=      0.00, quality_max=    268.87, quality_avg=     97.52, tasks_avg= 16.05, HV=0.3244, feasible ratio=1.00
Gen   5: profit_max=  243.00, profit_avg=   97.33, load_min=     29.84, att_min=      0.00, quality_max=    268.87, quality_avg=    106.24, tasks_avg= 17.46, HV=0.3569, feasible ratio=1.00
Gen   6: profit_max=  253.00, profit_avg=  106.81, load_min=     29.84, att_min=      0.00, quality_max=    278.16, quality_avg=    116.13, tasks_avg= 19.18, HV=0.4082, feasible ratio=1.00
Gen   7: profit_max=  304.00, profit_avg=  112.80, load_min=     29.84, att_min=      0.00, quality_max=    313.52, quality_avg=    121.80, tasks_avg= 20.19, HV=0.3610, feasible ratio=1.00
Gen   8: profit_max=  304.00, profit_avg=  118.41, load_min=     29.84, att_min=      0.00, quality_max=    313.52, quality_avg=    128.12, tasks_avg= 21.10, HV=0.3835, feasible ratio=1.00
Gen   9: profit_max=  304.00, profit_avg=  121.57, load_min=     29.84, att_min=      0.00, quality_max=    313.52, quality_avg=    130.78, tasks_avg= 21.58, HV=0.3978, feasible ratio=1.00
Gen  10: profit_max=  304.00, profit_avg=  125.46, load_min=     29.84, att_min=      0.00, quality_max=    313.52, quality_avg=    133.46, tasks_avg= 22.01, HV=0.4077, feasible ratio=1.00
Gen  11: profit_max=  304.00, profit_avg=  130.25, load_min=     29.84, att_min=      0.00, quality_max=    313.52, quality_avg=    138.64, tasks_avg= 22.89, HV=0.4118, feasible ratio=1.00
Gen  12: profit_max=  325.00, profit_avg=  136.31, load_min=     29.84, att_min=      0.00, quality_max=    367.25, quality_avg=    144.87, tasks_avg= 24.00, HV=0.3531, feasible ratio=1.00
Gen  13: profit_max=  325.00, profit_avg=  135.93, load_min=     29.84, att_min=      0.00, quality_max=    367.25, quality_avg=    144.66, tasks_avg= 23.93, HV=0.3531, feasible ratio=1.00
Gen  14: profit_max=  325.00, profit_avg=  137.32, load_min=     29.84, att_min=      0.00, quality_max=    367.25, quality_avg=    144.99, tasks_avg= 23.99, HV=0.3616, feasible ratio=1.00
Gen  15: profit_max=  338.00, profit_avg=  141.84, load_min=     29.84, att_min=      0.00, quality_max=    382.63, quality_avg=    149.13, tasks_avg= 24.69, HV=0.3351, feasible ratio=1.00
Gen  16: profit_max=  355.00, profit_avg=  143.97, load_min=     29.84, att_min=      0.00, quality_max=    382.63, quality_avg=    151.11, tasks_avg= 25.02, HV=0.3320, feasible ratio=1.00
Gen  17: profit_max=  355.00, profit_avg=  147.43, load_min=     29.84, att_min=      0.00, quality_max=    382.63, quality_avg=    153.66, tasks_avg= 25.51, HV=0.3337, feasible ratio=1.00
Gen  18: profit_max=  355.00, profit_avg=  149.94, load_min=     29.84, att_min=      0.00, quality_max=    382.63, quality_avg=    156.63, tasks_avg= 25.99, HV=0.3353, feasible ratio=1.00
Gen  19: profit_max=  355.00, profit_avg=  153.42, load_min=     29.84, att_min=      0.00, quality_max=    382.63, quality_avg=    158.80, tasks_avg= 26.53, HV=0.3369, feasible ratio=1.00
Gen  20: profit_max=  355.00, profit_avg=  157.52, load_min=     29.84, att_min=      0.00, quality_max=    382.63, quality_avg=    162.68, tasks_avg= 27.19, HV=0.3373, feasible ratio=1.00
Gen  21: profit_max=  444.00, profit_avg=  167.56, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    173.59, tasks_avg= 28.95, HV=0.2624, feasible ratio=1.00
Gen  22: profit_max=  444.00, profit_avg=  169.34, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    175.09, tasks_avg= 29.22, HV=0.2624, feasible ratio=1.00
Gen  23: profit_max=  444.00, profit_avg=  171.37, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    177.09, tasks_avg= 29.58, HV=0.2647, feasible ratio=1.00
Gen  24: profit_max=  444.00, profit_avg=  177.45, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    183.08, tasks_avg= 30.63, HV=0.2656, feasible ratio=1.00
Gen  25: profit_max=  444.00, profit_avg=  180.62, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    186.41, tasks_avg= 31.21, HV=0.3081, feasible ratio=1.00
Gen  26: profit_max=  444.00, profit_avg=  181.44, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    187.65, tasks_avg= 31.35, HV=0.3097, feasible ratio=1.00
Gen  27: profit_max=  444.00, profit_avg=  182.54, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    189.32, tasks_avg= 31.52, HV=0.3094, feasible ratio=1.00
Gen  28: profit_max=  444.00, profit_avg=  185.31, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    192.53, tasks_avg= 32.06, HV=0.3120, feasible ratio=1.00
Gen  29: profit_max=  444.00, profit_avg=  184.60, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    191.50, tasks_avg= 31.84, HV=0.3127, feasible ratio=1.00
Gen  30: profit_max=  444.00, profit_avg=  186.58, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    193.45, tasks_avg= 32.16, HV=0.3124, feasible ratio=1.00
Gen  31: profit_max=  444.00, profit_avg=  184.79, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    191.10, tasks_avg= 31.74, HV=0.3145, feasible ratio=1.00
Gen  32: profit_max=  444.00, profit_avg=  185.43, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    190.76, tasks_avg= 31.76, HV=0.3171, feasible ratio=1.00
Gen  33: profit_max=  444.00, profit_avg=  187.00, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    192.45, tasks_avg= 32.02, HV=0.3186, feasible ratio=1.00
Gen  34: profit_max=  444.00, profit_avg=  185.28, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    191.22, tasks_avg= 31.77, HV=0.3220, feasible ratio=1.00
Gen  35: profit_max=  444.00, profit_avg=  184.76, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    190.58, tasks_avg= 31.63, HV=0.3220, feasible ratio=1.00
Gen  36: profit_max=  444.00, profit_avg=  188.94, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    194.46, tasks_avg= 32.29, HV=0.3301, feasible ratio=1.00
Gen  37: profit_max=  444.00, profit_avg=  189.04, load_min=     29.84, att_min=      0.00, quality_max=    470.51, quality_avg=    194.15, tasks_avg= 32.29, HV=0.3277, feasible ratio=1.00
