开始 s5_t300 / mode_sdas_dpic_dual_archive，时间：2026-05-26T17:12:01
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + DPIC + Dual Archive

========== MODE-SDAS + DPIC + Dual Archive Run 1/8 ==========
Init: HV=0.3966, feasible ratio=0.43
Gen  68: profit_max=394.00, profit_avg=201.68, load_min=78.64, att_min=0.00, quality_max=402.46, quality_avg=210.39, tasks_avg=34.38, HV=0.4333, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  69: profit_max=425.00, profit_avg=205.42, load_min=78.64, att_min=0.00, quality_max=454.79, quality_avg=214.33, tasks_avg=35.01, HV=0.3556, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  70: profit_max=425.00, profit_avg=206.43, load_min=78.64, att_min=0.00, quality_max=454.79, quality_avg=214.81, tasks_avg=35.13, HV=0.3559, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  71: profit_max=471.00, profit_avg=207.59, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=216.04, tasks_avg=35.31, HV=0.3132, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  72: profit_max=471.00, profit_avg=207.59, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=216.04, tasks_avg=35.31, HV=0.3132, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  73: profit_max=471.00, profit_avg=207.17, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=215.81, tasks_avg=35.21, HV=0.3133, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  74: profit_max=471.00, profit_avg=207.17, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=215.81, tasks_avg=35.21, HV=0.3133, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  75: profit_max=471.00, profit_avg=207.81, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=216.30, tasks_avg=35.32, HV=0.3130, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  76: profit_max=471.00, profit_avg=209.01, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=217.42, tasks_avg=35.51, HV=0.3132, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  77: profit_max=471.00, profit_avg=209.01, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=217.42, tasks_avg=35.51, HV=0.3132, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  78: profit_max=471.00, profit_avg=207.04, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=215.57, tasks_avg=35.14, HV=0.3134, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  79: profit_max=471.00, profit_avg=207.04, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=215.57, tasks_avg=35.14, HV=0.3134, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  80: profit_max=471.00, profit_avg=206.94, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=215.04, tasks_avg=35.12, HV=0.3135, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  81: profit_max=471.00, profit_avg=208.20, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=216.53, tasks_avg=35.39, HV=0.3135, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  82: profit_max=471.00, profit_avg=209.66, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=218.38, tasks_avg=35.69, HV=0.3230, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  83: profit_max=471.00, profit_avg=209.69, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=218.60, tasks_avg=35.68, HV=0.3229, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  84: profit_max=471.00, profit_avg=210.21, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=218.90, tasks_avg=35.75, HV=0.3229, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  85: profit_max=471.00, profit_avg=212.29, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=220.78, tasks_avg=36.11, HV=0.3229, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  86: profit_max=471.00, profit_avg=212.29, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=220.78, tasks_avg=36.11, HV=0.3229, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  87: profit_max=471.00, profit_avg=218.15, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=225.45, tasks_avg=37.10, HV=0.3240, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  88: profit_max=471.00, profit_avg=219.23, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=225.49, tasks_avg=37.21, HV=0.3241, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  89: profit_max=471.00, profit_avg=219.40, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=225.36, tasks_avg=37.21, HV=0.3244, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  90: profit_max=471.00, profit_avg=219.40, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=225.36, tasks_avg=37.21, HV=0.3244, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  91: profit_max=471.00, profit_avg=219.40, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=225.36, tasks_avg=37.21, HV=0.3244, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  92: profit_max=471.00, profit_avg=219.25, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=225.37, tasks_avg=37.20, HV=0.3244, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  93: profit_max=471.00, profit_avg=219.25, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=225.37, tasks_avg=37.20, HV=0.3244, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  94: profit_max=471.00, profit_avg=219.25, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=224.46, tasks_avg=37.14, HV=0.3242, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  95: profit_max=471.00, profit_avg=219.20, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=223.40, tasks_avg=37.03, HV=0.3247, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  96: profit_max=471.00, profit_avg=219.20, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=223.40, tasks_avg=37.03, HV=0.3247, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  97: profit_max=471.00, profit_avg=219.20, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=223.40, tasks_avg=37.03, HV=0.3247, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  98: profit_max=471.00, profit_avg=219.13, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=222.85, tasks_avg=37.01, HV=0.3246, feasible ratio=1.00, fea_archive=200, inf_archive=113
