开始 s5_t300 / mode_sdas_dual_archive，时间：2026-05-25T22:07:31
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.3074, feasible ratio=0.51
Gen  22: profit_max=469.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3053, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  23: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3026, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  24: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3107, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  25: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3107, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  26: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3111, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  27: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3111, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  28: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3118, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  29: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3116, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  30: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3116, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  31: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3355, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  32: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3355, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  33: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3357, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  34: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3415, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  35: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3424, feasible ratio=1.00, fea_archive=200, inf_archive=94
