开始 s5_t300 / mode_sdas_dpic，时间：2026-05-26T10:50:41
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5693, feasible ratio=0.48
Gen  85: profit_max=447.00, profit_avg=216.63, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=215.17, tasks_avg=36.33, HV=0.3132, feasible ratio=1.00, Nsub=13
Gen  86: profit_max=447.00, profit_avg=215.98, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=215.41, tasks_avg=36.35, HV=0.3137, feasible ratio=1.00, Nsub=13
Gen  87: profit_max=447.00, profit_avg=215.72, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=215.05, tasks_avg=36.27, HV=0.3139, feasible ratio=1.00, Nsub=13
Gen  88: profit_max=447.00, profit_avg=216.21, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=214.14, tasks_avg=36.26, HV=0.3138, feasible ratio=1.00, Nsub=13
Gen  89: profit_max=447.00, profit_avg=217.63, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=215.78, tasks_avg=36.49, HV=0.3154, feasible ratio=1.00, Nsub=13
Gen  90: profit_max=447.00, profit_avg=221.00, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=218.56, tasks_avg=36.96, HV=0.3232, feasible ratio=1.00, Nsub=13
Gen  91: profit_max=447.00, profit_avg=221.00, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=218.56, tasks_avg=36.96, HV=0.3232, feasible ratio=1.00, Nsub=13
Gen  92: profit_max=447.00, profit_avg=222.05, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=220.64, tasks_avg=37.16, HV=0.3232, feasible ratio=1.00, Nsub=13
Gen  93: profit_max=447.00, profit_avg=222.21, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=220.80, tasks_avg=37.17, HV=0.3232, feasible ratio=1.00, Nsub=13
Gen  94: profit_max=447.00, profit_avg=222.21, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=220.80, tasks_avg=37.17, HV=0.3232, feasible ratio=1.00, Nsub=13
Gen  95: profit_max=447.00, profit_avg=222.21, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=220.80, tasks_avg=37.17, HV=0.3232, feasible ratio=1.00, Nsub=13
Gen  96: profit_max=447.00, profit_avg=220.37, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=218.97, tasks_avg=36.87, HV=0.3233, feasible ratio=1.00, Nsub=13
Gen  97: profit_max=447.00, profit_avg=221.73, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=220.11, tasks_avg=37.11, HV=0.3236, feasible ratio=1.00, Nsub=13
Gen  98: profit_max=447.00, profit_avg=221.93, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=220.27, tasks_avg=37.18, HV=0.3236, feasible ratio=1.00, Nsub=13
Gen  99: profit_max=447.00, profit_avg=221.93, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=220.27, tasks_avg=37.18, HV=0.3236, feasible ratio=1.00, Nsub=13
Gen 100: profit_max=447.00, profit_avg=224.56, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=222.82, tasks_avg=37.61, HV=0.3297, feasible ratio=1.00, Nsub=13
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=447.0, load=43.76, att=0.00, quality=540.32

========== MODE-SDAS-DPIC Full Run 2/8 ==========
Init: HV=0.3496, feasible ratio=0.57
Gen   1: profit_max=168.00, profit_avg=64.23, load_min=47.76, att_min=0.00, quality_max=174.72, quality_avg=65.55, tasks_avg=10.94, HV=0.4030, feasible ratio=0.69, Nsub=21
Gen   2: profit_max=193.00, profit_avg=69.96, load_min=47.76, att_min=0.00, quality_max=177.80, quality_avg=71.45, tasks_avg=11.89, HV=0.4925, feasible ratio=0.80, Nsub=21
Gen   3: profit_max=193.00, profit_avg=77.22, load_min=47.76, att_min=0.00, quality_max=194.95, quality_avg=78.60, tasks_avg=13.28, HV=0.4481, feasible ratio=0.99, Nsub=21
Gen   4: profit_max=247.00, profit_avg=90.81, load_min=47.76, att_min=0.00, quality_max=233.05, quality_avg=91.76, tasks_avg=15.44, HV=0.3285, feasible ratio=1.00, Nsub=21
Gen   5: profit_max=271.00, profit_avg=99.21, load_min=47.76, att_min=0.00, quality_max=269.64, quality_avg=99.44, tasks_avg=16.72, HV=0.2738, feasible ratio=1.00, Nsub=21
Gen   6: profit_max=290.00, profit_avg=105.77, load_min=47.76, att_min=0.00, quality_max=286.98, quality_avg=106.46, tasks_avg=17.89, HV=0.2535, feasible ratio=1.00, Nsub=21
Gen   7: profit_max=290.00, profit_avg=109.38, load_min=47.76, att_min=0.00, quality_max=286.98, quality_avg=109.97, tasks_avg=18.47, HV=0.2540, feasible ratio=1.00, Nsub=21
Gen   8: profit_max=290.00, profit_avg=118.47, load_min=47.76, att_min=0.00, quality_max=286.98, quality_avg=119.09, tasks_avg=19.90, HV=0.2591, feasible ratio=1.00, Nsub=21
Gen   9: profit_max=290.00, profit_avg=123.13, load_min=47.76, att_min=0.00, quality_max=286.98, quality_avg=123.97, tasks_avg=20.84, HV=0.3072, feasible ratio=1.00, Nsub=21
Gen  10: profit_max=333.00, profit_avg=135.30, load_min=47.76, att_min=0.00, quality_max=310.80, quality_avg=134.91, tasks_avg=22.76, HV=0.3616, feasible ratio=1.00, Nsub=21
Gen  11: profit_max=333.00, profit_avg=136.38, load_min=47.76, att_min=0.00, quality_max=310.80, quality_avg=136.10, tasks_avg=22.86, HV=0.3680, feasible ratio=1.00, Nsub=21
Gen  12: profit_max=333.00, profit_avg=136.49, load_min=47.76, att_min=0.00, quality_max=310.80, quality_avg=135.86, tasks_avg=22.85, HV=0.3749, feasible ratio=1.00, Nsub=21
Gen  13: profit_max=333.00, profit_avg=137.07, load_min=47.76, att_min=0.00, quality_max=310.80, quality_avg=136.11, tasks_avg=22.93, HV=0.3750, feasible ratio=1.00, Nsub=21
Gen  14: profit_max=333.00, profit_avg=140.92, load_min=47.76, att_min=0.00, quality_max=310.80, quality_avg=139.25, tasks_avg=23.50, HV=0.3773, feasible ratio=1.00, Nsub=21
Gen  15: profit_max=333.00, profit_avg=143.12, load_min=47.76, att_min=0.00, quality_max=310.80, quality_avg=140.75, tasks_avg=23.80, HV=0.3800, feasible ratio=1.00, Nsub=21
Gen  16: profit_max=333.00, profit_avg=144.13, load_min=47.76, att_min=0.00, quality_max=310.80, quality_avg=141.49, tasks_avg=23.98, HV=0.3800, feasible ratio=1.00, Nsub=21
Gen  17: profit_max=333.00, profit_avg=145.42, load_min=47.76, att_min=0.00, quality_max=310.80, quality_avg=142.38, tasks_avg=24.09, HV=0.3886, feasible ratio=1.00, Nsub=21
Gen  18: profit_max=333.00, profit_avg=146.84, load_min=47.76, att_min=0.00, quality_max=310.80, quality_avg=143.73, tasks_avg=24.28, HV=0.3893, feasible ratio=1.00, Nsub=21
Gen  19: profit_max=333.00, profit_avg=152.21, load_min=47.76, att_min=0.00, quality_max=310.80, quality_avg=147.90, tasks_avg=25.13, HV=0.3938, feasible ratio=1.00, Nsub=21
Gen  20: profit_max=333.00, profit_avg=153.25, load_min=47.76, att_min=0.00, quality_max=310.80, quality_avg=148.82, tasks_avg=25.30, HV=0.3937, feasible ratio=1.00, Nsub=21
Gen  21: profit_max=337.00, profit_avg=154.59, load_min=47.76, att_min=0.00, quality_max=321.03, quality_avg=150.21, tasks_avg=25.42, HV=0.4009, feasible ratio=1.00, Nsub=21
Gen  22: profit_max=374.00, profit_avg=156.68, load_min=47.76, att_min=0.00, quality_max=349.86, quality_avg=152.41, tasks_avg=25.81, HV=0.3405, feasible ratio=1.00, Nsub=21
Gen  23: profit_max=374.00, profit_avg=157.88, load_min=47.76, att_min=0.00, quality_max=349.86, quality_avg=153.23, tasks_avg=25.94, HV=0.3401, feasible ratio=1.00, Nsub=21
Gen  24: profit_max=374.00, profit_avg=163.67, load_min=47.76, att_min=0.00, quality_max=349.86, quality_avg=158.08, tasks_avg=26.88, HV=0.3409, feasible ratio=1.00, Nsub=21
Gen  25: profit_max=374.00, profit_avg=165.20, load_min=47.76, att_min=0.00, quality_max=349.86, quality_avg=159.52, tasks_avg=27.16, HV=0.3401, feasible ratio=1.00, Nsub=21
Gen  26: profit_max=374.00, profit_avg=166.61, load_min=47.76, att_min=0.00, quality_max=349.86, quality_avg=160.96, tasks_avg=27.43, HV=0.3402, feasible ratio=1.00, Nsub=21
Gen  27: profit_max=374.00, profit_avg=167.80, load_min=47.76, att_min=0.00, quality_max=349.86, quality_avg=161.67, tasks_avg=27.57, HV=0.3439, feasible ratio=1.00, Nsub=21
Gen  28: profit_max=374.00, profit_avg=170.61, load_min=47.76, att_min=0.00, quality_max=349.86, quality_avg=164.02, tasks_avg=28.08, HV=0.3630, feasible ratio=1.00, Nsub=21
Gen  29: profit_max=374.00, profit_avg=170.37, load_min=47.76, att_min=0.00, quality_max=349.86, quality_avg=163.80, tasks_avg=27.99, HV=0.3643, feasible ratio=1.00, Nsub=21
Gen  30: profit_max=374.00, profit_avg=171.55, load_min=47.76, att_min=0.00, quality_max=349.86, quality_avg=165.28, tasks_avg=28.14, HV=0.3711, feasible ratio=1.00, Nsub=21
