START s5_t300 / mode_sdas_dpic_dual_archive: 2026-05-28T09:32:28
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS + DPIC + Dual Archive

========== MODE-SDAS + DPIC + Dual Archive Run 1/8 ==========
Init: HV=0.3376, feasible ratio=0.48
Gen  52: profit_max=390.00, profit_avg=174.21, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=194.17, tasks_avg=31.18, HV=0.3440, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  53: profit_max=390.00, profit_avg=175.20, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=195.24, tasks_avg=31.30, HV=0.3444, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  54: profit_max=390.00, profit_avg=174.92, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=195.39, tasks_avg=31.29, HV=0.3440, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  55: profit_max=390.00, profit_avg=174.92, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=195.39, tasks_avg=31.29, HV=0.3440, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  56: profit_max=390.00, profit_avg=174.52, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=197.64, tasks_avg=31.41, HV=0.3559, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  57: profit_max=390.00, profit_avg=177.23, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=200.29, tasks_avg=31.76, HV=0.3618, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  58: profit_max=390.00, profit_avg=177.23, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=200.29, tasks_avg=31.76, HV=0.3618, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  59: profit_max=390.00, profit_avg=177.19, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=200.09, tasks_avg=31.78, HV=0.3619, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  60: profit_max=390.00, profit_avg=177.19, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=200.09, tasks_avg=31.78, HV=0.3619, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  61: profit_max=390.00, profit_avg=177.19, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=200.09, tasks_avg=31.78, HV=0.3619, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  62: profit_max=390.00, profit_avg=178.01, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=200.42, tasks_avg=31.87, HV=0.3618, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  63: profit_max=390.00, profit_avg=179.79, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=202.70, tasks_avg=32.21, HV=0.3621, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  64: profit_max=390.00, profit_avg=179.79, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=202.70, tasks_avg=32.21, HV=0.3621, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  65: profit_max=390.00, profit_avg=181.61, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=205.47, tasks_avg=32.63, HV=0.3615, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  66: profit_max=390.00, profit_avg=181.61, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=205.47, tasks_avg=32.63, HV=0.3615, feasible ratio=1.00, fea_archive=200, inf_archive=102
